"Area";"Perimeter";"Barycenter x";"Barycenter y";"Orientation";"Length";"Width";"Eccentricity";"Compactness";"Equivalent circular diameter";"Elongation";"Ellipticity";"Rectangularity";"Solidity";"Convexity";"Class"
1474094.0575570005;6558.242933;30634.459399954056;6022.709470528937;147.45371662552515;2195.5262944206265;999.0695979282839;5.3664896540770135;0.4306853106758295;1369.9908199475951;0.4550478855421436;0.16868931139277504;0.48802144677458775;0.8763199631848401;0.8001873664352713;"Plagioclase"
1096310.6721380004;5292.934152000001;14235.935288340545;8089.395541830058;72.23335651967604;1796.547133314081;900.2349683979315;4.37205428100055;0.49175696941938385;1181.4677740341833;0.5010917619162448;0.1586459120481302;0.47523379356541867;0.919258186033034;0.8170356153714718;"Plagioclase"
665280.0044550002;4325.193994;18681.58684464184;7233.486181684069;4.696044214825482;1413.060329057809;719.8453186901971;4.4963970257538195;0.4468925884180264;920.3590657964377;0.5094229198056752;0.20084042479390432;0.5289575157641705;0.9024216457440724;0.7941272293831824;"Plagioclase"
564107.4034970002;3543.090155;29474.17546812552;7563.837381501405;154.56753145786965;1187.6313373942949;692.362651683659;2.9083370222062124;0.5646863075306453;847.4926864641697;0.5829777557088778;0.14483622497815063;0.45765075388750304;0.9340146252703616;0.8350279551382175;"Plagioclase"
269595.4688460001;2607.3633300000006;34491.66297856741;8024.695475747322;34.52796118627916;844.7531919265399;543.8836234373966;3.3189856021633473;0.49833265415525874;585.8836164428426;0.6438373108683003;0.33848379142753526;0.7042104932325893;0.8575951454389552;0.8346118555713523;"Plagioclase"
253961.33690400008;2216.6387210000003;35124.164649248865;8436.965635777271;100.80467873198711;739.215413419292;476.5205999712923;2.3192497035526927;0.649512685945235;568.6419057543881;0.6446302272934399;0.08936889465007737;0.38702755547291207;0.9542656797818464;0.865803078696648;"Plagioclase"
1246901.5062460003;6058.462146;6344.886025126661;11020.831041439866;15.366555729530061;1642.4004421108853;1167.4414302736404;2.0212899550029593;0.4268912136441755;1260.001708785447;0.7108141232434115;0.20773565163673413;0.5377367912503808;0.8291059832437923;0.7798881653687567;"Plagioclase"
803409.1498400002;5061.947583000001;24918.309705626296;9942.258837026842;27.00748590413004;1776.439582208049;675.1589716409787;9.56327949233715;0.3940137249478438;1011.4011568998455;0.3800630082796179;0.1724912013207589;0.49286216337562716;0.8402547365529605;0.8134128170011119;"Plagioclase"
334737.6852710001;2990.2876960000003;9825.360869463775;11336.038574590657;177.56936641882268;1022.8628637786526;549.4256136286685;4.299214570806102;0.4704229758836054;652.8409132400866;0.5371449419905464;0.318595489902015;0.6788879212526805;0.8693880481806595;0.8228453065875171;"Plagioclase"
871516.4602540003;5394.587066000001;14784.783801076977;12395.305332989677;22.40528407654688;1601.788218486524;881.775122497017;4.945653969090955;0.37633017675115105;1053.3988898242696;0.5504941991208905;0.27284999235319773;0.620642944779941;0.7500104090457582;0.790311576185431;"Plagioclase"
1318305.6694170004;6547.916221000002;25929.674280181614;11566.098507814426;177.75458677333575;2127.6992638153033;958.334731361886;7.804063934032541;0.386384552914107;1295.5766709655918;0.45040892181512504;0.2147900686932374;0.5467187540117744;0.8393267326732673;0.7888799264769943;"Plagioclase"
743581.9853440003;4396.831615;10632.508901137717;13062.434532700034;132.05443399675943;1319.9950531078725;825.768798013777;3.311842020344748;0.48334703188579314;973.0148963364659;0.6255847672076794;0.15130872053631095;0.46589179118527513;0.8805513267527707;0.8160897135015711;"Plagioclase"
510832.47466900013;4486.2176150000005;3848.9275683881538;14059.412861735378;8.155431494148273;1372.7053368028771;726.3474454984978;6.4209367377260795;0.3189537333487289;806.4813125444967;0.5291357336675107;0.5329681033562672;0.9518356100108594;0.710287828552208;0.7811009502266422;"Plagioclase"
215615.55263600007;2152.1730120000007;17484.01541995769;15034.278482369537;63.966287074690015;621.0811015812347;493.5559654599775;1.7379250493599947;0.5849726827428857;523.9563417653051;0.7946723289493337;0.11659201442502216;0.4216891081014336;0.9110183103115965;0.8365741215790321;"Plagioclase"
814944.6786690003;4056.8335610000013;2546.556482880866;16692.157820505647;122.93307142050082;1189.8101139039013;1029.4585315229124;1.5814689569640858;0.6222481464710798;1018.6362410855317;0.8652292659919849;0.1804518210851551;0.5029979392602565;0.9252046044836435;0.8476724586532771;"Plagioclase"
779045.6153150003;4096.27119;24654.334651927435;16534.29243222287;8.151798440652442;1226.964369238674;871.7879844462942;2.1404995214293825;0.5834388568155918;995.9476314403262;0.7105242876671594;0.07837503185375091;0.37302973461123645;0.9398555800146755;0.8168210203387437;"Plagioclase"
586729.2044900001;3425.0690870000003;33328.867969383915;15982.818227494407;170.18957441365959;1059.6723526126802;788.9700066169058;1.7822237885101295;0.6285052325288515;864.3187058068754;0.7445414657385908;0.11913962397225185;0.424932825321511;0.9396723489041399;0.8458938151048163;"Plagioclase"
436822.62284100015;3763.9682190000008;8694.238482872108;17422.42459744308;146.33499106539398;1233.0413462409733;760.3375964691403;3.9044220442305893;0.3874566244887469;745.7746559357557;0.6166359293523216;0.6856556646673783;1.1462434510613408;0.8000632951452623;0.8235733328863157;"Plagioclase"
658478.9497110002;5077.195783;3844.085851402841;18269.491636300663;47.573983503568186;1355.2288639070189;782.2749623965991;4.053590600152956;0.32099919158523754;915.6426367026178;0.5772271999441935;0.26450356632720107;0.6100159451064354;0.7222917187890918;0.7208903976591049;"Plagioclase"
391191.96895900014;3328.232501;20056.02754034524;21388.965563331512;52.04953689541299;990.3811091648378;585.3804488980007;3.5533655257021493;0.44378485779288657;705.7485986251827;0.5910658467543233;0.1639665836535717;0.4820082830580165;0.8667534456355284;0.7818335204100576;"Plagioclase"
487090.98783400015;3200.4946490000007;29613.550658171815;21004.03308641485;45.47464568811776;887.7013376795625;722.761192917711;1.6589103534516894;0.5975658187190939;787.5173062189574;0.8141941013708479;0.034526184458891454;0.31719964811704376;0.932010844409178;0.826708318923985;"Plagioclase"
141591.87752600005;1728.9802530000004;10880.716321634289;22558.235111930102;152.32963236849625;549.6189146270656;406.7100231955112;2.1488077210959506;0.5952071482720975;424.59436840283365;0.7399854924415716;0.23993262269611174;0.5787312480238737;0.9009191257311228;0.8606264359689016;"Plagioclase"
408063.28464000014;3373.3671730000005;18296.259349373307;23082.94435020326;73.46394705701553;1206.228699683479;444.86989075816456;7.886695582633568;0.45061968148138865;720.8067083193447;0.36881056707977594;0.03282093166938806;0.3150284528316784;0.8871125268582934;0.8508031488453687;"Plagioclase"
482190.6343650001;3140.811091;21572.430640306746;26873.328541847633;66.93990420766872;1005.7625047079213;613.1154726007319;2.6089098972526354;0.6142497707669627;783.5459040633498;0.6096026345491811;0.004404911220128833;0.2788480518916783;0.9438288891594625;0.8566292702893413;"Plagioclase"
3117523.319614001;8334.758135;21929.20362936146;9748.974244345469;5.911728825621535;2518.9897079744337;1720.2587343481523;2.1370922540922628;0.5639408720174969;1992.3237618837416;0.6829161424924772;0.09169252156941735;0.38998608915382693;0.9320895938766358;0.8208525020384411;"Plagioclase"
